"accessions"	"DIACortex1_tmm_CN"	"DIACortex2_tmm_CN"	"DIACortex3_tmm_CN"	"DIANucleus1_tmm_CN"	"DIANucleus2_tmm_CN"	"DIANucleus3_tmm_CN"	"logFC_CN"	"FC_CN"	"PValue_CN"	"FDR_CN"	"ave_cortex_CN"	"ave_nucleus_CN"	"direction_CN"	"candidate_CN"	"Acc_CN"
"Q5XTM9"	7300864348.84168	6702796013.00387	6301535277.47866	7541836103.2315	8440311374.86767	21754408599.4154	0.894113837661335	1.85846798759386	0.0688163011079298	0.148349895011357	6768398546.4414	12578852025.8382	"up"	"no"	"Q5XTM9"
"Q0D276"	2759941994.97887	2648071976.35664	3180578485.60695	10450133876.6058	9701915531.41565	35195992684.411	2.68803866373448	6.44436703335396	3.41481726006798e-06	0.000299365646465959	2862864152.31415	18449347364.1442	"up"	"high"	"Q0D276"
"E9QE97"	8110496741.98219	7672097890.28308	7358494802.81969	7661858925.3264	7904637089.42277	7767747117.72095	0.0119918877513287	1.00834678496563	0.973985457064197	0.981448947156643	7713696478.36165	7778081044.15671	"up"	"no"	"E9QE97"
"A7E2K5"	2323306223.00592	2372437999.55956	2223524608.00157	2406940740.46311	2040432418.24107	4459482905.47274	0.364296685592471	1.28725394001594	0.401611536807203	0.529121642960627	2306422943.52235	2968952021.39231	"up"	"no"	"A7E2K5"
"Q5XTN5"	1263587224.79084	1775404795.336	1014757548.36641	2597507409.43142	3230672641.72019	8802057592.34199	1.85162433325854	3.60906301593059	0.000797178115308057	0.0106785604680972	1351249856.16442	4876745881.16454	"up"	"med"	"Q5XTN5"
"Q5XTN4"	3987688831.92544	3702057319.2832	3985492631.35946	3185164988.53567	3272070626.44436	6279642451.98518	0.125559645774645	1.09093084125887	0.768181668191919	0.821267393229572	3891746260.85603	4245626022.32174	"up"	"no"	"Q5XTN4"
"Q52JI4"	7217202979.02228	7997439501.78199	6317498011.90766	5747369706.14803	6130280168.51	7931959794.68886	-0.120291290368468	-1.08695430410375	0.754193188117114	0.816266701542391	7177380164.23731	6603203223.11563	"down"	"no"	"Q52JI4"
"Q45FX9"	2352763009.56071	2825775674.33884	4162797985.32305	3239148221.90169	3104594151.79536	5548948123.4463	0.348374226707871	1.27312513382874	0.427781954759217	0.548812946837434	3113778889.74087	3964230165.71445	"up"	"no"	"Q45FX9"
"Q52JI3"	2557093423.95245	2829540035.26669	2049006640.07744	2313605601.00238	3364393227.69057	3766587419.63463	0.345030653295886	1.27017797018189	0.392669932713416	0.529121642960627	2478546699.76553	3148195416.1092	"up"	"no"	"Q52JI3"
"Q52JI7"	2411135444.805	2304283419.71335	3051491936.17111	3541805438.5379	3165215484.97452	5773940405.77109	0.684316257453897	1.60694021723226	0.102273783455041	0.201800918827009	2588970266.89649	4160320443.0945	"up"	"no"	"Q52JI7"
"Q6DH14"	12457526094.6222	12275035134.997	10794800285.5506	10104578920.3024	11051404574.1736	15589371963.5163	0.0486313584892528	1.03428326480993	0.900454567512785	0.931462973079538	11842453838.3899	12248451819.3308	"up"	"no"	"Q6DH14"
"Q6DGZ8"	1900575214.60527	2018882775.3116	1855303577.61432	1769573370.43605	1901620625.48388	3563214003.2069	0.32511358287085	1.2527630646783	0.447462973162047	0.56851575817207	1924920522.5104	2411469333.04227	"up"	"no"	"Q6DGZ8"
"Q8UUZ6"	8304863412.71897	7066636075.64807	7787309167.21845	7224826671.17489	6759552796.90327	4074040550.90219	-0.358889366474057	-1.28243825491069	0.375218528897302	0.529121642960627	7719602885.19516	6019473339.66011	"down"	"no"	"Q8UUZ6"
"Q5XTP1"	6063342080.98663	6399904310.22493	4460616195.90263	4760651551.09004	5165564545.73967	4716662252.46876	-0.208859704990761	-1.15577430771492	0.585790542401142	0.69086507915471	5641287529.03806	4880959449.76615	"down"	"no"	"Q5XTP1"
"Q4ZHG3"	1310056306.81793	1244982995.23081	1840176867.76404	2389468853.71051	1858937145.87996	7505568002.06277	1.41914258382986	2.67426528014295	0.013294253217305	0.0582731432691868	1465072056.60426	3917991333.88441	"up"	"low"	"Q4ZHG3"
"Q5XTN3"	2100723633.40644	2827505854.89085	2983117357.50814	2234821130.2312	2541411012.40792	7095512376.99544	0.585536721874482	1.50059714875589	0.258594451902831	0.397721291523068	2637115615.26848	3957248173.21152	"up"	"no"	"Q5XTN3"
"Q5XTN0"	3281539921.68899	3562748679.0108	4040274090.41643	3194676866.31568	4371589779.85133	2230427294.71584	-0.15191657055474	-1.11104447651402	0.713949143114234	0.792272677801872	3628187563.70541	3265564646.96095	"down"	"no"	"Q5XTN0"
"Q6DGJ1"	2300212269.39665	2807194832.94278	2308059186.44606	2120168328.01934	2353726256.21816	2366614568.13262	-0.116433701357957	-1.08405180427486	0.757397450691543	0.816375121032277	2471822096.26183	2280169717.4567	"down"	"no"	"Q6DGJ1"
"Q5XTN7"	722511546.521842	908251399.150256	634355421.962525	743305361.18276	970749836.909455	2459898682.46009	0.881828216152368	1.84270894633688	0.0892035297516817	0.183285377536658	755039455.878208	1391317960.1841	"up"	"no"	"Q5XTN7"
"Q9PUR2"	2942853217.45148	2759925103.14419	2925813605.92815	2686741940.77778	2742297391.72547	1494995047.81179	-0.317512261079896	-1.24617982126935	0.440434815992744	0.562302701971319	2876197308.84127	2308011460.10501	"down"	"no"	"Q9PUR2"
"Q5XTN8"	2410292180.5608	2797959757.59394	2143984222.24017	2743361088.36804	1975292726.51748	4821758136.14635	0.375868454205371	1.29762044402549	0.402373872973861	0.529121642960627	2450745386.7983	3180137317.01062	"up"	"no"	"Q5XTN8"
"Q567D9"	721590125.964997	895158157.346881	1311429666.75938	1546513471.31442	1060434476.64799	2986169769.9475	0.933649463346217	1.91010171283265	0.0604109360978284	0.135795523023324	976059316.69042	1864372572.63664	"up"	"no"	"Q567D9"
