"accessions"	"DIACortex1_tmm_CN"	"DIACortex2_tmm_CN"	"DIACortex3_tmm_CN"	"DIANucleus1_tmm_CN"	"DIANucleus2_tmm_CN"	"DIANucleus3_tmm_CN"	"logFC_CN"	"FC_CN"	"PValue_CN"	"FDR_CN"	"ave_cortex_CN"	"ave_nucleus_CN"	"direction_CN"	"candidate_CN"	"Acc_CN"
"Q5XTM9"	8559876442.59241	7687266910.80503	7306842863.40239	7941063775.33819	8577727787.42894	13038851106.7467	0.327559975318755	1.254889189348	0.371921259813539	0.501616878620312	7851328738.93328	9852547556.50462	"up"	"no"	"Q5XTM9"
"Q0D276"	3235885689.27313	3037006652.41544	3687988114.91332	11003312514.2287	9859872076.86602	21095278507.296	2.07461665929389	4.21232473185454	1.13270748604048e-06	0.000148951034414322	3320293485.53396	13986154366.1302	"up"	"high"	"Q0D276"
"E9QE97"	9509127506.31102	8798934673.53175	8532423110.84542	8067440014.71884	8033332207.78791	4655722891.29231	-0.370847901891276	-1.29311259649248	0.322142127884286	0.461447245676102	8946828430.2294	6918831704.59969	"down"	"no"	"E9QE97"
"A7E2K5"	2723953391.95583	2720889028.48432	2578251838.34828	2534352333.01975	2073652626.65936	2672862070.77603	-0.140048485055961	-1.10194214854201	0.687467347587434	0.782700919547598	2674364752.92948	2426955676.81838	"down"	"no"	"A7E2K5"
"Q5XTN5"	1481489040.45367	2036166774.2824	1176645630.60758	2735006663.21431	3283271109.3439	5275653339.64726	1.26656534377536	2.40588109726274	0.00292139387130559	0.0698478716503065	1564767148.44788	3764643704.06849	"up"	"low"	"Q5XTN5"
"Q5XTN4"	4675353774.81749	4245795736.17003	4621313236.89798	3353771941.30463	3325343093.20097	3763803670.45423	-0.374965133281928	-1.29680821334495	0.271046296704741	0.407343863047696	4514154249.29517	3480972901.65328	"down"	"no"	"Q5XTN4"
"Q52JI4"	8461787921.22635	9172060724.20247	7325352192.79705	6051607162.00295	6230087044.26822	4754146373.36677	-0.550998607299627	-1.46509946025548	0.114523967012705	0.235310963471417	8319733612.74196	5678613526.54598	"down"	"no"	"Q52JI4"
"Q45FX9"	2758489912.73708	3240810520.94673	4826904779.78469	3410612781.26598	3155139939.96009	3325850392.57846	-0.130251380038263	-1.09448439134802	0.728626476172797	0.814187013150832	3608735071.15617	3297201037.93485	"down"	"no"	"Q45FX9"
"Q52JI3"	2998056492.40302	3245127771.1129	2375892363.6629	2436076490.79875	3419168795.47013	2257564131.00015	-0.087331722251799	-1.06240343928604	0.81447011768468	0.881504695271896	2873025542.39294	2704269805.75634	"down"	"no"	"Q52JI3"
"Q52JI7"	2826928498.83731	2642724267.77027	3538307903.50873	3729291180.85951	3216748246.93205	3460703098.68599	0.208246119608161	1.15528285564142	0.553328426372915	0.671504785959878	3002653556.70544	3468914175.49252	"up"	"no"	"Q52JI7"
"Q6DH14"	14605788993.6354	14077926769.5398	12516935311.0229	10639465579.8311	11231332103.2537	9343738256.59614	-0.400449118126933	-1.31991874406893	0.234044946282619	0.372505448405797	13733550358.066	10404845313.227	"down"	"no"	"Q6DH14"
"Q6DGZ8"	2228323692.85916	2315405500.23272	2151287124.26414	1863245872.41451	1932580843.98774	2135669036.32297	-0.174691614834569	-1.12872310736799	0.611747591752529	0.721478101483924	2231672105.78534	1977165250.90841	"down"	"no"	"Q6DGZ8"
"Q8UUZ6"	9737012124.70265	8104545859.61441	9029647841.05199	7607273424.70107	6869604838.18634	2441841059.63191	-0.6674406962089	-1.588252947113	0.153489548448138	0.292519936535219	8957068608.45635	5639573107.50644	"down"	"no"	"Q8UUZ6"
"Q5XTP1"	7108947182.48684	7339888091.60589	5172235047.84523	5012657005.78805	5249664920.38258	2827006606.48644	-0.584012651631942	-1.4990127471386	0.142145576708576	0.277480635534921	6540356773.97932	4363109510.88569	"down"	"no"	"Q5XTP1"
