"accessions"	"PASEFCortex1_tmm_CN"	"PASEFCortex2_tmm_CN"	"PASEFCortex13_tmm_CN"	"PASEFNucleus1_tmm_CN"	"PASEFNucleus2_tmm_CN"	"PASEFNucleus3_tmm_CN"	"logFC_CN"	"FC_CN"	"PValue_CN"	"FDR_CN"	"ave_cortex_CN"	"ave_nucleus_CN"	"direction_CN"	"candidate_CN"	"Acc_CN"
"Q5XTM9"	51783751.9148974	47445570.3592313	58982004.7778152	85152468.750072	72237416.704012	143520619.550577	0.927481571339185	1.90195298030631	0.0106095935997621	0.0391921333309851	52737109.0173147	100303501.66822	"up"	"med"	"Q5XTM9"
"Q0D276"	30057033.8818685	34969877.4497887	33598528.0402504	97078515.680492	75730730.4012114	192384436.754625	1.8886300713125	3.70283453399094	8.10857796661577e-06	0.000288508435392813	32875146.4573025	121731227.61211	"up"	"high"	"Q0D276"
"E9QE97"	42859072.9386041	47852534.0207862	48216023.2512739	61172001.0582989	50237437.867986	69963487.2243109	0.384625556351627	1.30552090952368	0.197240228586398	0.322305143897477	46309210.0702214	60457642.0501986	"up"	"no"	"E9QE97"
"A7E2K5"	36300425.2618922	43265539.1816841	46033963.3035552	56807329.5424239	43380469.6370011	78228010.0767245	0.506407810512983	1.42050885264322	0.134551232732817	0.24053486175737	41866642.5823772	59471936.4187165	"up"	"no"	"A7E2K5"
"Q5XTN5"	26089118.3112104	33265195.3068392	23719803.4428106	61561074.6836722	49468492.3186705	113226121.27265	1.43267360254159	2.699465202991	0.000411721030531839	0.00428422921393036	27691372.3536201	74751896.0916642	"up"	"high"	"Q5XTN5"
"Q5XTN4"	32018328.2562586	36218567.3859658	46435219.1057288	48967530.530618	39778209.529535	71110108.556358	0.479256908949674	1.39402546964334	0.171136169619975	0.288188084108141	38224038.2493178	53285282.8721704	"up"	"no"	"Q5XTN4"
"Q52JI4"	36826498.4664188	36227081.6582813	36623243.7978799	54933289.1771521	44239567.0334224	56886989.9961608	0.508840676967004	1.42290632264203	0.0796119936089298	0.168345890399147	36558941.3075267	52019948.7355785	"up"	"no"	"Q52JI4"
"Q45FX9"	28187836.4909884	34992583.8627929	36315256.7679863	44626826.8211922	36605038.3505854	59494378.8518816	0.500185638177868	1.41439556063759	0.124651829885283	0.22801155615832	33165225.7072559	46908748.0078864	"up"	"no"	"Q45FX9"
"Q52JI3"	26347735.1883103	30677442.6962109	31741018.5110175	42693674.4746455	39577477.6770481	51598427.5461384	0.592745867745119	1.50811440766612	0.0460935868110655	0.112980502783567	29588732.1318462	44623193.2326106	"up"	"no"	"Q52JI3"
"Q52JI7"	18934390.6246384	28532352.1215828	33051132.8810724	44502907.6128719	34849302.7200817	56307312.5550908	0.752609302137358	1.68483733371201	0.0353381454218034	0.0936970538467528	26839291.8757645	45219840.9626815	"up"	"low"	"Q52JI7"
