"accessions"	"PASEFCortex1_tmm_CN"	"PASEFCortex2_tmm_CN"	"PASEFCortex13_tmm_CN"	"PASEFNucleus1_tmm_CN"	"PASEFNucleus2_tmm_CN"	"PASEFNucleus3_tmm_CN"	"logFC_CN"	"FC_CN"	"PValue_CN"	"FDR_CN"	"ave_cortex_CN"	"ave_nucleus_CN"	"direction_CN"	"candidate_CN"	"Acc_CN"
"Q5XTM9"	69415411.7659526	57917541.2108394	68121806.3124882	72963273.6885971	72719595.3544625	88038883.2708157	0.257957297784511	1.19578440127906	0.406129856659089	0.501636317911506	65151586.4297601	77907250.7712918	"up"	"no"	"Q5XTM9"
"Q0D276"	40291043.159676	42688270.0113241	38804927.5056774	83182160.3395676	76236226.6253096	118013084.277366	1.18780399699105	2.27805724041742	0.000327708449630715	0.00502031138809276	40594746.8922259	92477157.0807478	"up"	"high"	"Q0D276"
"E9QE97"	57452001.5627588	58414328.0438558	55687537.4015283	52415502.6954758	50572768.5193094	42917228.9267443	-0.233627378055064	-1.17578752577342	0.448140145829646	0.544381696971475	57184622.3360476	48635166.7138432	"down"	"no"	"E9QE97"
"A7E2K5"	48660223.9825061	52814912.532226	53167347.2913298	48675614.3863263	43670030.6049851	47986879.3015201	-0.14008729811087	-1.10197179581385	0.646828291844346	0.71706614948322	51547494.6020206	46777508.0976105	"down"	"no"	"A7E2K5"
"Q5XTN5"	34972106.5626829	40607338.1663041	27395404.1065284	52748882.1714889	49798690.3234493	69455534.0211389	0.740142611444255	1.67034094695126	0.0276253126868931	0.0638799159195872	34324949.6118385	57334368.8386924	"up"	"low"	"Q5XTN5"
"Q5XTN4"	42920131.4655269	44212565.1202357	53630781.3529627	41958047.5399569	40043725.7157917	43620593.0978581	-0.164179712360742	-1.12052878818171	0.597994579048127	0.679987650195963	46921159.3129085	41874122.1178689	"down"	"no"	"Q5XTN4"
"Q52JI4"	49365417.9238656	44222958.6240756	42298350.6568191	47069834.5177926	44534862.4039102	34895801.6456662	-0.10326147780404	-1.07419914343178	0.745124604419598	0.794790265182717	45295575.7349201	42166832.8557897	"down"	"no"	"Q52JI4"
"Q45FX9"	37785409.6016245	42715988.0807027	41942638.2174708	38238696.1529582	36849373.8874429	36495234.5621993	-0.134001320192575	-1.09733294183998	0.662427557324699	0.729199197334475	40814678.633266	37194434.8675335	"down"	"no"	"Q45FX9"
"Q52JI3"	35318778.9521809	37448428.5497742	36659579.8720955	36582265.9188938	39841653.9951568	31651674.5392899	-0.0179251808450943	-1.012502294598	0.954120214158074	0.963731315216443	36475595.7913502	36025198.1511135	"down"	"no"	"Q52JI3"
"Q52JI7"	25381291.875233	34829883.3238165	38172708.4559793	38132515.4250866	35081918.8700135	34540214.0323399	0.131256194166795	1.09524694822242	0.68730551906413	0.749108683327802	32794627.8850096	35918216.1091467	"up"	"no"	"Q52JI7"
"Q6DH14"	38214866.5139388	36852373.7167849	33387965.4180647	30570923.9500092	27507813.6305193	26586231.1390035	-0.357262236613162	-1.2809926855116	0.250598197697946	0.340300948999423	36151735.2162628	28221656.239844	"down"	"no"	"Q6DH14"
"Q6DGZ8"	34457246.5996357	30454515.7528178	31710322.642146	28550340.664733	33656697.586605	31544138.1804359	-0.0435161917549034	-1.0306226403987	0.888701904260489	0.907627963332703	32207361.6648665	31250392.1439246	"down"	"no"	"Q6DGZ8"
"Q8UUZ6"	36976179.8637277	43980478.5398412	33864108.6559792	30080254.2386304	25728838.8443148	18918498.6868537	-0.619670665650882	-1.5365243859759	0.0668850267062678	0.119958023507339	38273589.0198494	24909197.2565997	"down"	"no"	"Q8UUZ6"
"Q5XTP1"	30591958.5980117	36079461.4986939	31289936.5965672	30537462.8269735	32513924.7333678	23120460.5731978	-0.18499613373692	-1.13681392258715	0.56789673366331	0.654535106824065	32653785.5644243	28723949.3778464	"down"	"no"	"Q5XTP1"
"Q4ZHG3"	22698020.1010737	21566069.5162584	28213033.9371311	28555688.1012526	27365495.1511704	47231627.341092	0.509185531134701	1.42324647467556	0.153048789064677	0.225685580666228	24159041.1848211	34384270.1978383	"up"	"no"	"Q4ZHG3"
"Q5XTN3"	27113774.8687478	30774871.4424947	29929913.4972356	24104931.8645645	26003035.8186335	34795769.1411412	-0.0486978195976352	-1.03433091514181	0.881065152164528	0.902259423139679	29272853.2694927	28301245.6081131	"down"	"no"	"Q5XTN3"
"Q5XTN0"	42636416.985494	35280483.67023	33599995.067842	22217131.8818733	29319413.6264779	13756966.8206262	-0.772250759531787	-1.70793225461199	0.0382653527332113	0.0806010029434338	37172298.574522	21764504.1096591	"down"	"low"	"Q5XTN0"
"Q6DGJ1"	30059661.9136491	25409102.3090125	29914939.0933471	20252233.8502027	21654482.3845818	14462907.2324311	-0.59904281054929	-1.51471125872728	0.0715731412751386	0.125909369739199	28461234.4386696	18789874.4890718	"down"	"no"	"Q6DGJ1"
"Q5XTN7"	19044234.3092056	21526394.027009	20761845.3092917	20321938.6072077	19409536.1576816	25185062.5189546	0.0819349125839652	1.05843663927617	0.79750793755121	0.836170394599796	20444157.8818355	21638845.7612813	"up"	"no"	"Q5XTN7"
"Q9PUR2"	26541404.35394	25518603.1999874	25482876.2404637	18930008.2569247	21157290.2812676	10223289.7373053	-0.624132339608006	-1.54128358368165	0.0901637164889486	0.149325194125091	25847627.9314637	16770196.0918325	"down"	"no"	"Q9PUR2"
"Q5XTN8"	19522005.64991	18821996.0913244	18839233.1062254	19869091.8675154	20538033.930237	18615790.4056508	0.0456829653135268	1.03217169089596	0.883151838130124	0.902795623222916	19061078.2824866	19674305.4011344	"up"	"no"	"Q5XTN8"
"Q567D9"	15526828.7416934	17083563.9162276	19614840.5202277	18572023.1971468	15448940.7760002	22278299.0002599	0.108369015740169	1.07800883878031	0.742844153780282	0.793950679864002	17408411.0593829	18766420.9911356	"up"	"no"	"Q567D9"
"B5M4A7"	17222522.9278411	24581807.2017363	20247666.8899413	13815388.0597054	18074093.1548426	10362487.2974773	-0.554459097527857	-1.4686178941428	0.119552018553443	0.188111093387229	20683999.0065062	14083989.5040084	"down"	"no"	"B5M4A7"
"Q5XTP2"	13533947.8140906	16976145.8442986	16053503.9984794	14455037.3525208	14422121.6664463	22317992.5836364	0.136804664363009	1.09946727011656	0.690968529816176	0.752357639079213	15521199.2189562	17065050.5342011	"up"	"no"	"Q5XTP2"
"Q5XTN2"	19656424.1352708	18610300.134362	20470532.6932689	14553093.6647698	18452457.2607991	7667081.7521814	-0.530217529840363	-1.44414691392803	0.172760789804876	0.250072376843541	19579085.6543006	13557544.2259168	"down"	"no"	"Q5XTN2"
"A0A8M9Q8E3"	24527068.3215717	18312571.2930148	16785145.3545437	15336673.8213699	16126094.87674	5707195.58010956	-0.681774865840561	-1.60411197930767	0.120318518368623	0.188778557269689	19874928.3230434	12389988.0927398	"down"	"no"	"A0A8M9Q8E3"
"A8WG86"	17012514.4006075	13922162.7415707	16182648.0466418	15197167.5003193	12294974.3320437	13778044.1877649	-0.19115769006245	-1.14167949632794	0.551552878614073	0.640381921169813	15705775.06294	13756728.6733759	"down"	"no"	"A8WG86"
"Q6DGY7"	8226928.32314248	10779693.2904014	13717424.2003866	16405035.3977097	11678177.4899148	22182909.0408154	0.619235270584556	1.53606073693497	0.10343861179904	0.167291479199914	10908015.2713102	16755373.9761466	"up"	"no"	"Q6DGY7"
"Q6IQU2"	11753940.9115279	14680342.8500585	13419704.8470982	10135679.6167533	11550096.8573029	11736877.1792361	-0.253897834894266	-1.19242442632196	0.428997802156065	0.525177109631675	13284662.8695616	11140884.5510974	"down"	"no"	"Q6IQU2"
