Accession	DIACortex1	DIACortex2	DIACortex3	DIANucleus1	DIANucleus2	DIANucleus3
Q5XTM9	9961535376	8336629421	6979257692	6673417420	7898422975	13500927684
Q0D276	3765754095	3293550140	3522645813	9246833861	9079029094	21842862325
E9QE97	11066223991	9542202518	8149891922	6779619992	7397140274	4820714460
A7E2K5	3169994130	2950729276	2462661961	2129789092	1909431723	2767584140
Q5XTN5	1724079265	2208166834	1123893482	2298412609	3023255646	5462614278
Q5XTN4	5440931576	4604448637	4414127491	2818403268	3061995780	3897187011
Q52JI4	9847385098	9946847452	6996937199	5085578179	5736701358	4922625917
Q45FX9	3210185922	3514569827	4610501819	2866170502	2905271700	3443713351
Q52JI3	3488980946	3519251766	2269374799	2047201200	3148391047	2337568688
Q52JI7	3289831160	2865961744	3379676163	3133977693	2962000997	3583345027
Q6DH14	16997451392	15267124175	11955767858	8941068470	10341877677	9674865789
Q6DGZ8	2593206274	2510993548	2054839209	1565812568	1779531983	2211353821
Q8UUZ6	11331424161	8789156958	8624824747	6392910626	6325573162	2528376104
Q5XTP1	8273019981	7959906651	4940350014	4212477513	4833922811	2927191318
Q4ZHG3	1787483183	1548452593	2038085640	2114329038	1739588886	4658004393
Q5XTN3	2866295248	3516721746	3303947982	1977488513	2378246280	4403521201
Q5XTN0	4477439171	4431182957	4474800629	2826819883	4090923145	1384217708
Q6DGJ1	3138483993	3491459831	2556288130	1876037620	2202611339	1468736417
Q5XTN7	985818115	1129641320	702579572	657716089	908425350	1526629146
Q9PUR2	4015324081	3432667915	3240481282	2377372065	2566235268	927803665
Q5XTN8	3288680583	3479973669	2374567104	2427471696	1848474157	2992414508
Q567D9	984560899	1113356548	1452472324	1368437314	992352019	1853236411
B5M4A7	1411667037	2078971479	1614625144	1091747166	1270828761	1486076271
Q5XTP2	539610840	230876099	763654028	622038946	582929546	1118794984
Q5XTN2	2433690903	2408101660	2085928709	1230827577	2028924823	681978125
A0A8M9Q8E3	3275290822	2447891690	1854051477	1697609856	1685131623	514914276
A8WG86	1087547879	977443994	1093852979	905651925	841901560	873448393
Q6DGY7	617859369	817849330	1028437143	1212038971	801984424	1735984692
Q6IQU2	2085723010	1889237358	929743777	935243952	1060485033	1085486250
A8WGA7	586059284	361494651	376192948	394549535	362994853	436960353
Q6DGY4	403944179	521708936	598937769	865014611	663881874	1676674058
E7F8M1	462037214	529575713	458341753	656801190	435882334	685298269
Q66I80	1084025083	1183512104	629310264	528266491	875355377	129213148
Q4ZJI3	287436199	464801226	1127142186	1741214251	2138041622	1846611116
Q6DEI6	214600677	329937238	937457324	1313707935	1751406238	859603456
A0A2R8QDV2	1467619685	847558624	837028374	659010658	669102783	137753201
F1RCB6	153719007	153107637	408391064	247706340	394795712	196302101
E9QIV8	372074724	271496099	329502295	261675552	226454571	209487023
A8KBB6	32512288	40448567	79516456	296924042	226994844	850066403
A0JMJ1	366414475	235928609	196161235	101441696	114292696	59542929
Q6DG30	177914356	164253020	94404636	96781122	117064589	129041264
Q5XJ63	157023370	234756872	396458926	353318212	144924342	194612848
A0A140LGD4	165044206	166551260	230824489	131109658	133031559	116538988
Q9YHX5	57186894	77643838	146788045	200599459	347551180	132108191
Q4VBU1	56168894	129160357	149520583	142694503	129753606	517205906
Q803A1	119801157	106196333	104858750	93003628	69721360	110265581
Q7ZVF9;Q7ZVI7	118721563	121957175	225408961	185808920	274116824	154858787
A0A286YA92	58410246	84647039	165638942	213678764	245079139	129515600
Q6DGY5	4387677	9456114	21777244	58854062	83873286	175263164
E9QH74	35922933	66117927	68219322	88859445	110153519	193125415
A0A8N7UVS8	38954085	66908245	113048344	148559159	186732562	95168603
Q45FX8	31592854	42719071	72124427	91600958	113076344	66959921
Q5BKW4	25755911	43165872	25820519	56451797	90685829	89293824
B8A516	33939383	26825330	23794843	22070242	18350137	7563677
Q5MJ86	134311510	98797038	89089341	60898106	58580701	73693766
Q7ZUG1	30112069	27062127	7679191	4653008	12611737	8020227
Q92005	79791989	78288145	78418297	43165393	65746890	22638385
Q4VBH6	55511064	74148231	35444011	35072963	37935331	22462839
Q7ZV29	43226461	51797625	34863920	18868717	25303689	19533772
F1QTD7	28271457	40462110	29635014	30760982	36832376	43627878
Q5XJ10	88787844	93595910	91774658	53571117	47921462	43191015
Q9DDU5	78401294	81591999	43509002	18353455	26634890	9655230
Q6NWI0	25696809	17524122	14368880	10273672	8482331	3919040
Q6DGI6	73938958	45724548	24574597	55028907	38535925	34906089
Q6PBS2	12909605	23293562	31901122	38448454	89500558	36900064
Q58EE9	14273283	19471199	23128132	32337811	57072612	20906588
A2AR68	16378500	21780975	15953275	11616966	16261746	11951617
Q6PBK9	19073416	21061403	6730654	3866336	5954604	965526
A0A8M9QMF3	54878578	36491514	15229879	24760251	30684179	2061824
A0A8M9PQF2	26019637	26728359	36907559	37377429	55888264	32083532
Q803M8	86312552	77353039	75106508	47187119	53764064	29204795
A0A2R8Q1X2	65709970	48879763	37855540	16344861	24523882	6994979
A0A286Y8V0	5608239	8581207	18215652	24970155	36085714	25634201
Q7ZVA4	59711124	45057402	35053166	27681089	27107584	17436330
A0A0R4IXS6	17661415	11288947	4960562	8392948	9133834	11030407
Q66I42	17280293	26065336	41626873	46296814	55613252	20403186
A0A0R4IGP6	62778367	44537081	45898932	20167686	24787410	11740601
A4VAK4	40056152	37860215	23417459	12188185	19340356	4246388
F1QXB0	16639284	14887972	27013518	26192830	46166144	21680477
X1WDH8	36203467	28423072	66740720	41655348	51417415	24210776
A0A8M9QBT7	3068764	7214016	17673725	19075393	25196527	15338710
Q7ZU99	24544919	22142666	16549072	17850392	17226799	30199782
A0A0R4IXC8	13565517	11979874	12883575	4076399	9535241	4084689
Q29RF4	21238514	21453300	41677935	39164571	44909518	22831913
Q7ZVA5	12662624	9467658	8942717	5746938	5631929	7620264
A0A8M1N7Z8	11874334	11355820	18208174	8127514	4926137	7580530
F1R4Z8	39204881	32286962	38641821	17286632	19009316	8514358
Q1LWH1	38139764	33607927	30477760	13081448	17477171	6488222
Q6P3J5	43872346	45785773	40576769	22152024	24833081	14200817
A0A8M2BLC4	35383509	23189182	23146328	10715614	12834591	6568557
Q9PVF8	18356484	17880455	34971964	35266905	50855345	29324538
A0A8M6Z1M4	14911832	14431032	41565534	16225612	21332907	7750606
Q7ZUI4	18660779	20258917	3729460	1950109	3992647	3378687
A0A8M6Z292	20132690	22027567	13940290	15777945	16887073	27902654
Q6PGX4	17445620	16114802	16380272	9612463	13819788	6535015
Q7ZVL9	8793791	7657033	4685334	5355810	8508674	9710791
Q6PBW7	34336160	23671798	19165929	12201969	14170226	5437964
E7F8S4	25258572	25118598	20867920	13146728	13371378	10716951
Q6TH32	27697754	21631582	20375252	10170351	18233901	7871653
A0A8M9PNP6	18045523	19881923	26306154	14099312	14848466	24092789
Q8JGS9	25899147	23861983	25328656	10611756	13581129	3074254
