Accession	PASEFCortex1	PASEFCortex2	PASEFCortex13	PASEFNucleus1	PASEFNucleus2	PASEFNucleus3
Q5XTM9	64364645	56254136	62701852	79138291	70309645	99444571
Q0D276	37359408	41462253	35717503	90222021	73709734	133302015
E9QE97	53271710	56736655	51256887	56851524	48896771	48477278
A7E2K5	45119635	51298056	48937210	52795122	42222792	54203716
Q5XTN5	32427485	39441086	25215752	57213118	48148346	78453696
Q5XTN4	39797200	42942770	49363772	45509035	38716664	49271765
Q52JI4	45773518	42952865	38932980	51053442	43058963	39416652
Q45FX9	35036088	41489175	38605569	41474908	35628174	41223296
Q52JI3	32748933	36372901	33742845	39678291	38521289	35752239
Q52JI7	23534512	33829561	35135585	41359741	33919293	39014997
Q6DH14	35434297	35793965	30731529	33158198	26596196	30030553
Q6DGZ8	31950087	29579855	29187364	30966609	32541304	35630771
Q8UUZ6	34285739	42717349	31169789	32626002	24876177	21369444
Q5XTP1	28366043	35043251	28800425	33121905	31436403	26115782
Q4ZHG3	21046479	20946687	25968329	30972409	26458594	53350619
Q5XTN3	25140937	29891010	27548609	26144977	25141287	39303660
Q5XTN0	39534129	34267220	30926689	24097409	28347759	15539221
Q6DGJ1	27872477	24679347	27534826	21966218	20936846	16336618
Q5XTN7	17658548	20908151	19109977	22041822	18766298	28447859
Q9PUR2	24610213	24785703	23455390	20532090	20456131	11547746
Q5XTN8	18101556	18281424	17340333	21550650	19857397	21027519
Q567D9	14397074	16592920	18054231	20143808	14936958	25164516
B5M4A7	15969387	23875812	18636708	14984610	17475112	11704977
Q5XTP2	12549198	16488587	14776244	15678394	13944168	25209352
Q5XTN2	18226194	18075808	18841842	15784749	17840937	8660374
A0A8M9Q8E3	22742443	17786630	15449674	16634645	15591671	6446579
A8WG86	15774659	13522315	14895113	16483332	11887515	15563029
Q6DGY7	7628325	10470098	12626029	17793424	11291159	25056768
Q6IQU2	10898707	14258720	12351997	10993481	11167323	13257423
A8WGA7	12476848	10330437	10742762	12571582	10478974	11582526
Q6DGY4	4638113	7287731	7338212	14251913	9288765	24988081
E7F8M1	8598579	9870293	8980791	13817849	8699683	14572066
Q66I80	14504762	13818400	9485326	9428895	11170622	2208342
Q4ZJI3	1690925	3411024	5912023	12390650	15857363	18262693
Q6DEI6	1627924	2340173	5439793	10929443	10646108	12390185
A0A2R8QDV2	8462540	6438353	8115979	8772771	7964503	2513787
F1RCB6	3409961	3669452	6679557	5680854	8075327	4898886
E9QIV8	6192474	4719319	5304815	5873810	4905140	3819740
A8KBB6	722397	1265966	1555242	6540715	4027617	14145300
A0JMJ1	8419930	5553051	5350247	3837997	3173294	1836738
Q6DG30	5688444	5123806	3305546	3833981	3502109	3669705
Q5XJ63	3632258	4408467	2646608	2726276	3570745	3205336
A0A140LGD4	3658975	3170760	3571759	2719735	2547260	3800412
Q9YHX5	1241702	1452320	2612814	4276342	5874095	2915954
Q4VBU1	788254	1621701	2067024	2385902	1953192	7817828
Q803A1	3159468	3243207	2185048	2532921	2497090	2987517
Q7ZVF9;Q7ZVI7	1618478	1697548	3171140	3178847	4100095	2549454
A0A286YA92	1040617	1506721	2611106	4141017	4314544	2691424
A0A8N7TEM3	259835	420463	777508	3776516	1653366	6972157
Q4VBU2	163246	509167	519174	3813296	1911294	6573862
Q6DGY5	302619	525358	944197	3221781	3129090	4848578
E9QH74	954274	1405986	1321381	2165909	2182476	4286378
Q15I82	11698	34388	67747	9331995	1357931	1362838
Q7T2J4	3002712	2546468	1614351	1854812	1851217	1034875
A0A140LH64	1439821	1639048	1060131	1725444	1988503	2126334
A0A8N7UVS8	644822	853561	1514802	2324874	2666078	1590289
Q45FX8	575944	867442	1260664	1872788	1960725	1404581
Q5BKW4	329692	499110	774801	1904501	1782100	2248824
B8A516	1684752	1475823	1627453	908357	1061752	588063
Q6DH12	16327	42975	49069	5139060	763813	1039815
Q5MJ86	1510633	1426330	1038810	1030867	832373	1078059
Q7ZUG1	1311632	1482665	971720	975546	943296	767321
Q92005	1338318	1215068	1137420	898677	1047095	643269
Q4VBH6	1409544	1450925	760411	885194	827960	713309
Q7ZV29	1267307	1426565	947104	691790	738868	645570
Q6P5L3	1363469	1637226	801052	612352	761450	511355
F1QTD7	664345	914124	750887	914485	961288	1377424
Q5XJ10	1223992	1372766	625264	797981	788884	726865
Q9DDU5	1529606	1455999	916578	520355	599182	257934
Q6NWI0	1165834	1180142	1169441	597159	741360	410944
Q6P5M9	1245410	1216075	1021116	583093	706709	451726
Q6DGI6	1360640	870784	415340	1030786	680070	708319
Q6PBS2	311018	485812	671313	952199	1695845	775829
Q58EE9	338830	425879	616517	1077156	1701396	725273
A2AR68	977869	982250	653956	798206	734823	626769
Q6PBK9	1231623	1159415	775638	562056	660483	160810
A0A8M9QMF3	1393740	876001	479728	896360	723357	126028
A0A8M9PQF2	527922	532606	700338	832855	1060403	732692
Q803M8	1046161	964068	798205	618731	601029	348939
A0A2R8Q1X2	1207986	1144961	734502	424615	476162	251228
A0A286Y8V0	203066	259107	682431	1018434	1244533	800295
Q7ZVA4	1174805	821506	691283	663840	528450	326266
A0A0R4IXS6	1128768	636681	452871	668310	537155	755542
Q66I42	411041	512467	705901	936171	1059534	518876
A0A0R4IGP6	1131934	883512	857078	465446	434480	358915
A4VAK4	1116017	1074604	603167	504858	585585	189071
F1QXB0	442676	419074	666757	807919	1067656	658380
X1WDH8	536343	441214	1010280	727172	784758	428543
A7E2K7	26906	39905	49329	2648235	423980	674916
A0A8M9QBT7	212347	345862	636327	894396	879986	857536
Q9DGK4	797694	921611	761679	418971	570649	345071
Q7ZU99	777507	634858	514515	610990	462104	706998
